43,43
44,44
45,45
46,46
48,48
49,49
4A,4D
4B,4B
4C,4C
4D,48
4E,4E
4F,4F
50,50
52,52
53,53
55,55
56,56
57,57
58,58
59,59
5A,5A
5B,5B
5C,5C
5D,5D
5E,5E
5F,5F
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
6A,6A
6B,6B
6C,6C
6D,6D
6E,6E
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
7A,7A
7B,7B
7C,7C
7D,7D
7E,7E
7F,7F
81,81
82,82
83,83
84,84
86,86
87,87
88,88
89,89
8A,8A
8B,8B
8C,8C
8D,8D
8E,8E
8F,8F
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
9A,9A
9B,9B
9C,9C
9D,9D
9E,9E
9F,9F
A0,A0
A1,A1
A2,A2
A6,A6
